Year	Country	Value
2003	Austria	"Intermediate highly coordinated"
2003	Belgium	"Centralised highly coordinated"
2003	Bulgaria	"Intermediate low level of coordination"
2003	Cyprus	"Intermediate low level of coordination"
2003	"Czech Republic"	"Intermediate low level of coordination"
2003	Germany	"Intermediate highly coordinated"
2003	Denmark	"Intermediate highly coordinated"
2003	Estonia	"Decentralised low level of coordination"
2003	Greece	"Centralised low level of coordination"
2003	Spain	"Centralised highly coordinated"
2003	Finland	"Centralised highly coordinated"
2003	France	"Intermediate low level of coordination"
2003	Hungary	"Decentralised low level of coordination"
2003	Ireland	"Centralised highly coordinated"
2003	Italy	"Intermediate medium level of coordination "
2003	Lithuania	"Decentralised low level of coordination"
2003	Luxembourg	"Intermediate low level of coordination"
2003	Latvia	"Decentralised low level of coordination"
2003	Malta	"Decentralised low level of coordination"
2003	Netherlands	"Centralised highly coordinated"
2003	Norway	"Intermediate highly coordinated"
2003	Poland	"Decentralised low level of coordination"
2003	Portugal	"Intermediate low level of coordination"
2003	Romania	"Intermediate low level of coordination"
2003	Sweden	"Intermediate highly coordinated"
2003	Slovenia	"Centralised highly coordinated"
2003	Slovakia	"Intermediate low level of coordination"
2003	"United Kingdom"	"Decentralised low level of coordination"
