Column	Overview	Type	ColumnAs
w5_EU28	1 values : NA	Delete	
Y11_Q13a	1 values : NA	Delete	
Y11_Q13b	1 values : NA	Delete	
Y11_Q13c	1 values : NA	Delete	
Y11_Q14a	1 values : NA	Delete	
Y11_Q14b	1 values : NA	Delete	
Y11_Q14c	1 values : NA	Delete	
Y11_Q14d	1 values : NA	Delete	
Y11_Q16	1 values : NA	Delete	
Y11_Q19e	1 values : NA	Delete	
Y11_Q19f	1 values : NA	Delete	
Y11_Q20	1 values : NA	Delete	
Y11_Q21a	1 values : NA	Delete	
Y11_Q21b	1 values : NA	Delete	
Y11_Q21c	1 values : NA	Delete	
Y11_Q21d	1 values : NA	Delete	
Y11_Q23a	1 values : NA	Delete	
Y11_Q23b	1 values : NA	Delete	
Y11_Q23c	1 values : NA	Delete	
Y11_Q25f	1 values : NA	Delete	
Y11_Q25g	1 values : NA	Delete	
Y11_Q28a	1 values : NA	Delete	
Y11_Q28b	1 values : NA	Delete	
Y11_Q28c	1 values : NA	Delete	
Y11_Q28d	1 values : NA	Delete	
Y11_Q28e	1 values : NA	Delete	
Y11_Q28f	1 values : NA	Delete	
Y11_Q29a	1 values : NA	Delete	
Y11_Q29b	1 values : NA	Delete	
Y11_Q29c	1 values : NA	Delete	
Y11_Q29d	1 values : NA	Delete	
Y11_Q29e	1 values : NA	Delete	
Y11_Q29f	1 values : NA	Delete	
Y11_Q29g	1 values : NA	Delete	
Y11_Q29h	1 values : NA	Delete	
Y11_Q29i	1 values : NA	Delete	
Y11_Q33a	1 values : NA	Delete	
Y11_Q33b	1 values : NA	Delete	
Y11_Q33c	1 values : NA	Delete	
Y11_Q33d	1 values : NA	Delete	
Y11_Q34a	1 values : NA	Delete	
Y11_Q34b	1 values : NA	Delete	
Y11_Q34c	1 values : NA	Delete	
Y11_Q34d	1 values : NA	Delete	
Y11_Q35a	1 values : NA	Delete	
Y11_Q35b	1 values : NA	Delete	
Y11_Q35c	1 values : NA	Delete	
Y11_Q35d	1 values : NA	Delete	
Y11_Q35e	1 values : NA	Delete	
Y11_Q36a	1 values : NA	Delete	
Y11_Q36b	1 values : NA	Delete	
Y11_Q36c	1 values : NA	Delete	
Y11_Q39a	1 values : NA	Delete	
Y11_Q39b	1 values : NA	Delete	
Y11_Q39c	1 values : NA	Delete	
Y11_Q39d	1 values : NA	Delete	
Y11_Q40h	1 values : NA	Delete	
Y11_Q42	1 values : NA	Delete	
Y11_Q46a	1 values : NA	Delete	
Y11_Q46b	1 values : NA	Delete	
Y11_Q46c	1 values : NA	Delete	
Y11_Q47e	1 values : NA	Delete	
Y11_Q50a	1 values : NA	Delete	
Y11_Q50b	1 values : NA	Delete	
Y11_Q50c	1 values : NA	Delete	
Y11_Q50d	1 values : NA	Delete	
Y11_Q50e	1 values : NA	Delete	
Y11_Q50f	1 values : NA	Delete	
Y11_Q51a	1 values : NA	Delete	
Y11_Q51b	1 values : NA	Delete	
Y11_Q51c	1 values : NA	Delete	
Y11_Q51d	1 values : NA	Delete	
Y11_Q51e	1 values : NA	Delete	
Y11_Q53d	1 values : NA	Delete	
Y11_Q53e	1 values : NA	Delete	
Y11_Q53f	1 values : NA	Delete	
Y11_Q57	1 values : NA	Delete	
Y11_Q60c	1 values : NA	Delete	
Y11_Q60d	1 values : NA	Delete	
Y11_Q65	1 values : NA	Delete	
Y11_Q66	1 values : NA	Delete	
Y11_SocExIndex	1 values : NA	Delete	
Y11_Q46d_WHO5	1 values : NA	Delete	
Y11_Deprindex	1 values : NA	Delete	
Y11_Disability	1 values : NA	Delete	
Y11_PreferredWorkingHours	1 values : NA	Delete	
Y11_Partnerprefhours	1 values : NA	Delete	
Y11_Accommproblems	1 values : NA	Delete	
